,npi
7064502,1538237482
7074209,1972554228
7084225,1215941349
7084796,1972554228
7087201,1336186600
7090945,1598714784
7094060,1013009729
7100013,1013009729
7110662,1891803318
7123197,1598714784
7132904,1053360966
7136019,1013009729
7154594,1336186600
7155514,1104898634
7159285,1881615268
7161633,1487629796
7165342,1902916984
7165601,1538237482
7166348,1598714784
7172109,1891803318
7197203,1164515003
7203369,1982609723
7219857,1902916984
7227356,1538237482
7229975,1538237482
7230030,1891803318
7248481,1013009729
7249550,1417008756
7251185,1770542151
7251530,1164436960
7274934,1104898634
7278072,1497745905
7282058,1346345071
7287104,1053360966
7290191,1417008756
7292628,1982609723
7294883,1417008756
7302274,1417008756
7305815,1386670461
7324437,1598714784
7325271,1639395395
7335190,1902916984
7354326,1972554228
7365236,1013009729
7366330,1598714784
7375697,1215941349
7378889,1902916984
7380299,1346345071
7380923,1538237482
7385404,1962594895
7392948,1902916984
7403901,1205023512
7404800,1881615268
7427902,1134280779
7430816,1902916984
7462687,1528390259
7466842,1467519124
7469498,1225111933
7490040,1053360966
7491960,1053360966
7503310,1285725051
7516342,1376550442
7522622,1104898634
7532318,1164436960
7539434,1598714784
7553806,1346207776
7561973,1386670461
7564661,1134280779
7568661,1346207776
7570128,1902916984
7574896,1093726556
7576900,1295705291
7578478,1417008756
7581427,1033126651
7581908,1598714784
7582657,1902916984
7610446,1881615268
7623703,1972554228
7626447,1770542151
7634206,1598714784
7643223,1275773046
7655878,1770542151
7664336,1891803318
7665950,1598714784
7669150,1598714784
7682681,1891803318
7719773,1902143605
7721819,1891803318
7723736,1386670461
7728000,1891803318
7734032,1285663682
7749183,1285663682
7749570,1598714784
7750031,1417008756
7755897,1285725051
7764103,1598714784
7767646,1922005321
7776883,1285725051
7795910,1053360966
7796258,1982609723
7798379,1972554228
7808549,1164436960
7809609,1487629796
7810666,1841322104
7815785,1013009729
7817578,1730231259
7822616,1770542151
7825637,1164515003
7844651,1164436960
7847793,1952395881
7851216,1346207776
7853002,1730231259
7860547,1639395395
7884104,1164436960
7884510,1013009729
7888281,1902916984
7889262,1164515003
7893927,1164515003
7894687,1487629796
7896245,1902916984
7903954,1285663682
7910604,1013009729
7912446,1285663682
7917465,1598714784
7919606,1053360966
7922305,1336186600
7928450,1164436960
7938553,1033126651
7942695,1417008756
7945880,1285725051
7959374,1417008756
7964490,1013009729
7969283,1164436960
7971813,1346207776
7973670,1891803318
7977148,1598714784
7983060,1720101900
7984076,1386670461
7988743,1285663682
7993967,1639395395
8000883,1598714784
8011386,1104898634
8016980,1134280779
8020067,1386670461
8022168,1538237482
8025895,1487629796
8036001,1598714784
8037232,1902874456
8037490,1205023512
8038295,1104898634
8043753,1346207776
8056776,1891803318
8061946,1891803318
8062415,1134280779
8063117,1164515003
8086363,1447327952
8093579,1770542151
8097102,1164436960
8097876,1730231259
8103931,1972554228
8109209,1215941349
8126829,1396744892
8130401,1598714784
8139511,1285725051
8145071,1104898634
8146730,1902916984
8150399,1164436960
8152472,1598714784
8153960,1467519124
8155666,1134280779
8162567,1417008756
8175584,1316073455
8186224,1285663682
8188284,1285663682
8194489,1891803318
8200620,1164436960
8213082,1598714784
8222389,1598714784
8230305,1417008756
8246440,1346207776
8248698,1770542151
8249069,1245210764
8249408,1417008756
8262916,1346207776
8274632,1003892746
8279718,1972554228
8283241,1891803318
8286923,1336246487
8303696,1841322104
8303698,1164515003
8310322,1548441058
8325592,1831149087
8329512,1386670461
8348045,1053360966
8350723,1881615268
8351892,1205023512
8354235,1285663682
8354880,1598714784
8356870,1891803318
8364261,1770542151
8366091,1376550442
8367366,1548441058
8386775,1164515003
8407175,1902916984
8412370,1598714784
8417204,1902916984
8419211,1164436960
8421158,1164515003
8423115,1770542151
8423956,1285663682
8433196,1164436960
8440745,1598714784
8446781,1881615268
8446892,1538237482
8447076,1770542151
8448747,1104898634
8449181,1598714784
8455006,1396744892
8456327,1164436960
8476831,1346207776
8477740,1891803318
8489413,1376550442
8496504,1336186600
8500958,1902916984
8518879,1386670461
8521567,1528088325
8523464,1598718520
8528754,1033126651
8530303,1598714784
8531576,1891803318
8536396,1639395395
8543758,1134280779
8547509,1346207776
8548236,1235200775
8548361,1164515003
8550184,1285663682
8550419,1538237482
8556330,1841322104
8563536,1285663682
8572163,1790785277
8583963,1831339902
8591863,1164436960
8609554,1053360966
8610138,1235200775
8629789,1952395881
8653140,1902916984
8667235,1881615268
8667369,1881615268
8673913,1346207776
8674689,1386670461
8681212,1134280779
8685851,1184785354
8690868,1770542151
8700288,1497745905
8720149,1013009729
8741240,1770542151
8750827,1891803318
8756924,1902916984
8757916,1487629796
8761781,1164436960
8762367,1417008756
8762697,1902916984
8766293,1386670461
8773044,1033277322
8774359,1295705291
8775621,1891803318
8782586,1821037094
8786828,1346207776
8795779,1598714784
8796232,1417008756
8807119,1417008756
8808158,1346207776
8811758,1386670461
8813270,1841322104
8817147,1902874456
8827154,1386670461
8829239,1841322104
8832329,1841322104
8837878,1417008756
8846560,1902916984
8852094,1285725051
8878315,1285663682
8878987,1104898634
8879556,1104898634
8886143,1396744892
8886592,1336186600
8889242,1497745905
8891372,1346345071
8892534,1164436960
8894779,1013009729
8901651,1841322104
8915098,1962594895
8918233,1891803318
8929877,1245210764
8934252,1770542151
8939807,1982609723
8950793,1053360966
8957014,1417008756
8960606,1417008756
8962399,1164436960
8963318,1285725051
8964557,1386670461
8967082,1528088325
8970609,1285663682
8973633,1497745905
8987659,1598714784
8990760,1184727745
9000910,1285725051
9008183,1639395395
9015579,1326218959
9022865,1962594895
9028407,1104898634
9053517,1053360966
9057390,1962594895
9058888,1134280779
9066163,1487629796
9071576,1841322104
9084081,1831339902
9086510,1902916984
9090279,1285725051
9107490,1053360966
9113790,1891803318
9114852,1184727745
9117004,1598718520
9124152,1467474882
9126095,1770542151
9128869,1396744892
9140222,1235200775
9146043,1417008756
9147979,1528088325
9155272,1770542151
9159444,1548441058
9169868,1841322104
9177585,1598714784
9181209,1467474882
9181684,1417008756
9182210,1922005321
9187879,1285725051
9193404,1467474882
9196353,1164515003
9197993,1639395395
9209940,1598714784
9220776,1487629796
9238637,1285725051
9245553,1336186600
9271559,1386670461
9280829,1497745905
9307695,1134280779
9314418,1770542151
9322089,1487629796
9356525,1417008756
9357519,1902916984
9367413,1053360966
9368023,1598714784
9391072,1841322104
9392092,1285663682
9402095,1598714784
9402272,1881615268
9407676,1346207776
9408233,1336186600
9417720,1164436960
9418436,1104898634
9420406,1134280779
9422747,1528088325
9423738,1902874456
9460248,1891803318
9461385,1285725051
9462320,1285725051
9465688,1053360966
9478718,1841322104
9490344,1972554228
9490918,1053486704
9493487,1285663682
9495124,1891803318
9496197,1770542151
9498260,1902916984
9502946,1336186600
9515844,1285663682
9522395,1891803318
9540443,1104898634
9541687,1053360966
9541900,1164436960
9543894,1013009729
9548089,1336186600
9557387,1598714784
9560421,1285663682
9573529,1770542151
9585943,1164436960
9594972,1528093184
9602131,1417008756
9612029,1598714784
9619185,1598718520
9644829,1891803318
9646459,1447327952
9648726,1053360966
9653805,1467474882
9679069,1841322104
9685683,1972554228
9690260,1902916984
9692001,1598714784
9694792,1245210764
9703080,1598718520
9708241,1598718520
9712970,1104898634
9714096,1346207776
9715323,1891803318
9725813,1235200775
9728991,1134280779
9743101,1902916984
9765453,1285725051
9770414,1841322104
9770692,1598714784
9776922,1891803318
9784722,1598714784
9789140,1972554228
9793085,1306906854
9798018,1275773046
9806564,1104898634
9810509,1396744892
9815577,1598718520
9824153,1720101900
9843059,1134280779
9843511,1104898634
9844836,1164436960
9858493,1689605818
9860838,1104898634
9861314,1013009729
9864842,1164436960
9875517,1235200775
9885761,1003892746
9887483,1386670461
9904063,1013009729
9922581,1801924741
9941240,1164436960
9964618,1134280779
9979764,1639395395
9986684,1841322104
9989053,1164436960
10009142,1285725051
10011450,1770542151
10014664,1841322104
10015043,1841322104
10016909,1205023512
10024522,1336186600
10025100,1770542151
10029275,1386670461
10034389,1831339902
10045349,1386670461
10049838,1891803318
10077883,1902916984
10080905,1164515003
10093556,1730231259
10103854,1285663682
10105799,1891803318
10116856,1972554228
10123767,1417008756
10127668,1386670461
